date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-09,,,,,,,,
2020-02-10,,,,,,,,
2020-02-11,,,,,,,,
2020-02-12,,,,,,,,
2020-02-13,,,,,,,,
2020-02-14,,,,,,,,
2020-02-15,,,,,,,,
2020-02-16,,,,,,,,
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,1,1,,,,,,
2020-03-05,0,1,,,,,,
2020-03-06,0,1,,,,,,
2020-03-07,0,1,,,,,,
2020-03-08,0,1,,,,,,
2020-03-09,0,1,,,,,,
2020-03-10,1,2,,,,,,
2020-03-11,1,3,,,,,,
2020-03-12,1,4,,,,,,
2020-03-13,0,4,,,,,,
2020-03-14,1,5,,,,,,
2020-03-15,1,6,,,,,,
2020-03-16,1,7,,,,,,
2020-03-17,5,12,,,,,,
2020-03-18,1,13,,,,,,
2020-03-19,5,18,,,,,,
2020-03-20,5,23,,,,,,
2020-03-21,1,24,,,,,,
2020-03-22,6,30,,,,,,
2020-03-23,9,39,,,,,,
2020-03-24,11,50,,,,,,
2020-03-25,15,65,,,,,,
2020-03-26,16,81,,,,,,
2020-03-27,13,94,,,,,,
2020-03-28,16,110,,,,,,
2020-03-29,14,124,,,,,,
2020-03-30,22,146,,,,,,
2020-03-31,27,173,,,,,,
2020-04-01,26,199,,,,,,
2020-04-02,39,238,,,,,,
2020-04-03,27,265,,,,,,
2020-04-04,24,289,,,,,,
2020-04-05,59,348,,,,,,
2020-04-06,32,380,,,,,,
2020-04-07,52,432,,,,,,
2020-04-08,63,495,,,,,,
2020-04-09,49,544,,,,,,
2020-04-10,39,583,,,,,,
2020-04-11,21,604,,,,,,
2020-04-12,36,640,,,,,,
2020-04-13,74,714,,,,,,
2020-04-14,53,767,,,,,,
2020-04-15,93,860,,,,,,
2020-04-16,96,956,,,,,,
2020-04-17,,,64,36,95,1020,992,1051
2020-04-18,,,63,35,95,1083,1027,1146
2020-04-19,,,62,34,93,1146,1061,1239
2020-04-20,,,61,33,92,1206,1093,1331
2020-04-21,,,60,31,91,1266,1124,1422
2020-04-22,,,58,30,90,1324,1154,1512
2020-04-23,,,57,28,89,1381,1182,1601
2020-04-24,,,56,27,88,1437,1209,1690
2020-04-25,,,54,25,88,1491,1234,1777
2020-04-26,,,53,23,87,1544,1257,1865
2020-04-27,,,52,22,87,1596,1278,1952
2020-04-28,,,51,20,86,1647,1298,2038
2020-04-29,,,50,19,86,1697,1317,2124
2020-04-30,,,48,17,85,1745,1334,2209
2020-05-01,,,47,16,84,1793,1350,2293
2020-05-02,,,46,15,84,1839,1365,2377
2020-05-03,,,45,14,83,1884,1379,2460
2020-05-04,,,44,13,82,1929,1391,2543
2020-05-05,,,43,12,82,1972,1403,2624
2020-05-06,,,43,11,81,2015,1414,2705
2020-05-07,,,42,10,79,2056,1424,2785
2020-05-08,,,41,9,79,2097,1434,2864
2020-05-09,,,40,9,78,2137,1442,2942
2020-05-10,,,39,8,78,2176,1451,3020
2020-05-11,,,38,8,77,2215,1458,3096
2020-05-12,,,38,7,76,2252,1465,3172
2020-05-13,,,37,7,75,2289,1472,3248
2020-05-14,,,36,6,75,2326,1478,3323
2020-05-15,,,36,6,74,2361,1484,3397
2020-05-16,,,35,5,74,2396,1489,3471
2020-05-17,,,34,5,73,2430,1494,3543
2020-05-18,,,34,5,72,2464,1499,3615
2020-05-19,,,33,4,71,2497,1503,3687
2020-05-20,,,33,4,71,2530,1508,3757
2020-05-21,,,32,4,70,2562,1511,3827
2020-05-22,,,31,4,69,2593,1515,3896
2020-05-23,,,31,4,69,2624,1519,3965
2020-05-24,,,30,3,68,2655,1522,4033
2020-05-25,,,30,3,67,2685,1525,4100
2020-05-26,,,29,3,67,2714,1528,4167
2020-05-27,,,29,3,66,2743,1531,4232
2020-05-28,,,28,3,65,2772,1534,4298
2020-05-29,,,28,2,64,2800,1536,4362
2020-05-30,,,28,2,64,2827,1538,4426
2020-05-31,,,27,2,63,2854,1540,4489
2020-06-01,,,27,2,62,2881,1542,4551
2020-06-02,,,26,2,62,2907,1544,4613
2020-06-03,,,26,2,61,2933,1546,4674
2020-06-04,,,26,2,61,2959,1548,4735
2020-06-05,,,25,2,60,2984,1549,4795
2020-06-06,,,25,2,59,3009,1551,4854
2020-06-07,,,24,1,59,3033,1552,4913
2020-06-08,,,24,1,58,3057,1554,4971
2020-06-09,,,24,1,57,3081,1555,5028
2020-06-10,,,23,1,57,3104,1556,5085
2020-06-11,,,23,1,56,3127,1557,5141
2020-06-12,,,23,1,56,3149,1559,5197
2020-06-13,,,22,1,55,3172,1560,5252
2020-06-14,,,22,1,54,3193,1561,5306
2020-06-15,,,22,1,54,3215,1562,5360
2020-06-16,,,21,1,53,3236,1563,5414
2020-06-17,,,21,1,53,3257,1563,5467
2020-06-18,,,21,1,53,3278,1564,5519
2020-06-19,,,21,1,53,3299,1565,5572
2020-06-20,,,21,1,52,3319,1566,5624
2020-06-21,,,21,1,52,3340,1567,5676
2020-06-22,,,21,1,52,3361,1568,5728
2020-06-23,,,21,1,53,3382,1569,5782
2020-06-24,,,22,1,54,3404,1570,5836
2020-06-25,,,22,1,56,3426,1571,5891
2020-06-26,,,22,1,57,3448,1572,5948
2020-06-27,,,23,1,59,3471,1572,6008
2020-06-28,,,23,1,62,3494,1573,6069
2020-06-29,,,24,1,63,3518,1574,6132
2020-06-30,,,24,1,66,3543,1575,6198
2020-07-01,,,25,1,68,3568,1576,6266
2020-07-02,,,26,1,70,3593,1577,6337
2020-07-03,,,26,1,73,3619,1579,6410
2020-07-04,,,27,1,76,3646,1580,6485
2020-07-05,,,28,1,78,3674,1581,6563
2020-07-06,,,28,1,81,3702,1582,6645
2020-07-07,,,29,1,84,3731,1583,6729
2020-07-08,,,30,1,87,3761,1583,6816
2020-07-09,,,30,1,90,3791,1584,6906
2020-07-10,,,31,1,93,3822,1585,6999
2020-07-11,,,32,1,97,3855,1586,7096
2020-07-12,,,33,1,100,3888,1587,7196
2020-07-13,,,34,1,104,3921,1588,7299
2020-07-14,,,35,1,107,3956,1588,7407
2020-07-15,,,36,1,111,3992,1589,7518
2020-07-16,,,37,1,115,4029,1590,7633
2020-07-17,,,38,1,119,4067,1590,7752
2020-07-18,,,39,1,123,4106,1591,7875
2020-07-19,,,40,1,128,4147,1592,8003
2020-07-20,,,42,1,132,4188,1592,8135
2020-07-21,,,43,1,137,4231,1593,8271
2020-07-22,,,44,1,142,4275,1593,8413
2020-07-23,,,45,0,146,4321,1594,8559
2020-07-24,,,47,0,152,4367,1594,8711
2020-07-25,,,48,0,157,4416,1595,8868
2020-07-26,,,50,0,162,4465,1595,9030
2020-07-27,,,51,0,168,4517,1595,9198
2020-07-28,,,53,0,174,4570,1596,9372
2020-07-29,,,55,0,180,4625,1596,9552
2020-07-30,,,56,0,186,4681,1597,9738
2020-07-31,,,58,0,193,4739,1597,9931
2020-08-01,,,60,0,199,4799,1597,10130
2020-08-02,,,62,0,206,4861,1597,10336
