date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,1,1,,,,,,
2020-03-14,0,1,,,,,,
2020-03-15,0,1,,,,,,
2020-03-16,0,1,,,,,,
2020-03-17,0,1,,,,,,
2020-03-18,0,1,,,,,,
2020-03-19,9,10,,,,,,
2020-03-20,3,13,,,,,,
2020-03-21,1,14,,,,,,
2020-03-22,9,23,,,,,,
2020-03-23,2,25,,,,,,
2020-03-24,7,32,,,,,,
2020-03-25,8,40,,,,,,
2020-03-26,8,48,,,,,,
2020-03-27,16,64,,,,,,
2020-03-28,5,69,,,,,,
2020-03-29,11,80,,,,,,
2020-03-30,7,87,,,,,,
2020-03-31,24,111,,,,,,
2020-04-01,28,139,,,,,,
2020-04-02,24,163,,,,,,
2020-04-03,21,184,,,,,,
2020-04-04,17,201,,,,,,
2020-04-05,10,211,,,,,,
2020-04-06,18,229,,,,,,
2020-04-07,,,17,12,21,246,241,250
2020-04-08,,,16,11,22,262,252,272
2020-04-09,,,15,9,22,277,261,294
2020-04-10,,,14,8,22,290,269,316
2020-04-11,,,13,7,21,303,276,337
2020-04-12,,,12,6,21,315,282,358
2020-04-13,,,11,5,20,326,286,378
2020-04-14,,,10,4,19,336,290,397
2020-04-15,,,9,3,17,345,293,414
2020-04-16,,,8,3,16,353,296,430
2020-04-17,,,7,2,15,360,298,446
2020-04-18,,,7,2,14,367,300,460
2020-04-19,,,6,2,13,373,302,473
2020-04-20,,,6,1,13,378,303,486
2020-04-21,,,5,1,12,383,304,498
2020-04-22,,,5,1,11,388,305,509
2020-04-23,,,4,1,11,392,306,520
2020-04-24,,,4,1,10,396,307,530
2020-04-25,,,4,1,9,400,308,540
2020-04-26,,,3,1,9,404,309,548
2020-04-27,,,3,1,9,407,310,558
2020-04-28,,,3,1,9,410,311,566
2020-04-29,,,3,1,9,413,312,576
2020-04-30,,,3,0,8,416,312,584
2020-05-01,,,3,0,8,418,312,592
2020-05-02,,,2,0,8,421,312,600
2020-05-03,,,2,0,8,423,312,608
2020-05-04,,,2,0,8,425,312,616
2020-05-05,,,2,0,7,428,312,622
2020-05-06,,,2,0,7,430,312,630
2020-05-07,,,2,0,7,432,312,636
2020-05-08,,,2,0,7,434,312,644
2020-05-09,,,2,0,7,435,312,650
2020-05-10,,,2,0,7,437,312,658
2020-05-11,,,2,0,6,439,312,664
2020-05-12,,,2,0,6,440,312,670
2020-05-13,,,2,0,6,442,312,676
2020-05-14,,,1,0,6,443,312,682
2020-05-15,,,1,0,6,445,312,688
2020-05-16,,,1,0,6,446,312,694
2020-05-17,,,1,0,6,448,312,700
2020-05-18,,,1,0,6,449,312,706
2020-05-19,,,1,0,6,450,312,712
2020-05-20,,,1,0,5,452,312,716
2020-05-21,,,1,0,5,453,312,722
2020-05-22,,,1,0,5,454,312,726
2020-05-23,,,1,0,5,455,312,732
2020-05-24,,,1,0,5,456,312,736
2020-05-25,,,1,0,5,457,312,742
2020-05-26,,,1,0,5,458,312,746
2020-05-27,,,1,0,5,459,312,752
2020-05-28,,,1,0,5,460,312,756
2020-05-29,,,1,0,5,461,312,762
2020-05-30,,,1,0,4,462,312,766
2020-05-31,,,1,0,4,463,312,770
2020-06-01,,,1,0,4,464,312,774
2020-06-02,,,1,0,4,464,312,778
2020-06-03,,,1,0,4,465,312,782
2020-06-04,,,1,0,4,466,312,786
2020-06-05,,,1,0,4,467,312,790
2020-06-06,,,1,0,4,467,312,794
2020-06-07,,,1,0,4,468,312,798
2020-06-08,,,1,0,4,469,312,802
2020-06-09,,,1,0,4,469,312,806
2020-06-10,,,1,0,4,470,312,810
2020-06-11,,,1,0,3,470,312,812
2020-06-12,,,1,0,3,471,312,816
2020-06-13,,,1,0,3,471,312,818
2020-06-14,,,1,0,3,472,312,822
2020-06-15,,,1,0,3,473,312,824
2020-06-16,,,1,0,3,473,312,828
2020-06-17,,,1,0,3,474,312,830
2020-06-18,,,1,0,3,474,312,834
2020-06-19,,,1,0,3,475,312,836
2020-06-20,,,1,0,3,475,312,840
2020-06-21,,,1,0,3,476,312,842
2020-06-22,,,0,0,3,476,312,846
2020-06-23,,,0,0,2,476,312,848
2020-06-24,,,0,0,2,477,312,850
2020-06-25,,,0,0,2,477,312,852
2020-06-26,,,0,0,2,477,312,854
2020-06-27,,,0,0,2,477,312,856
2020-06-28,,,0,0,2,478,312,858
2020-06-29,,,0,0,2,478,312,860
2020-06-30,,,0,0,2,478,312,862
