date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,1,1,,,,,,
2020-03-13,0,1,,,,,,
2020-03-14,0,1,,,,,,
2020-03-15,0,1,,,,,,
2020-03-16,2,3,,,,,,
2020-03-17,0,3,,,,,,
2020-03-18,1,4,,,,,,
2020-03-19,2,6,,,,,,
2020-03-20,0,6,,,,,,
2020-03-21,2,8,,,,,,
2020-03-22,8,16,,,,,,
2020-03-23,5,21,,,,,,
2020-03-24,7,28,,,,,,
2020-03-25,2,30,,,,,,
2020-03-26,19,49,,,,,,
2020-03-27,9,58,,,,,,
2020-03-28,10,68,,,,,,
2020-03-29,18,86,,,,,,
2020-03-30,22,108,,,,,,
2020-03-31,20,128,,,,,,
2020-04-01,18,146,,,,,,
2020-04-02,12,158,,,,,,
2020-04-03,10,168,,,,,,
2020-04-04,18,186,,,,,,
2020-04-05,18,204,,,,,,
2020-04-06,16,220,,,,,,
2020-04-07,23,243,,,,,,
2020-04-08,30,273,,,,,,
2020-04-09,22,295,,,,,,
2020-04-10,24,319,,,,,,
2020-04-11,18,337,,,,,,
2020-04-12,13,350,,,,,,
2020-04-13,18,368,,,,,,
2020-04-14,16,384,,,,,,
2020-04-15,9,393,,,,,,
2020-04-16,17,410,,,,,,
2020-04-17,21,431,,,,,,
2020-04-18,12,443,,,,,,
2020-04-19,9,452,,,,,,
2020-04-20,,,14,9,20,466,461,472
2020-04-21,,,13,8,20,479,469,491
2020-04-22,,,13,8,20,492,477,511
2020-04-23,,,13,7,19,505,485,530
2020-04-24,,,12,7,19,517,492,549
2020-04-25,,,12,7,19,529,498,568
2020-04-26,,,12,6,19,540,504,587
2020-04-27,,,11,6,19,552,510,606
2020-04-28,,,11,6,19,563,516,625
2020-04-29,,,11,5,19,573,521,643
2020-04-30,,,10,5,18,584,526,662
2020-05-01,,,10,5,18,594,531,680
2020-05-02,,,10,4,18,604,535,698
2020-05-03,,,10,4,18,614,539,717
2020-05-04,,,9,4,18,623,543,735
2020-05-05,,,9,4,18,632,547,752
2020-05-06,,,9,4,18,641,551,770
2020-05-07,,,9,3,18,650,554,788
2020-05-08,,,9,3,17,659,558,805
2020-05-09,,,8,3,17,667,561,822
2020-05-10,,,8,3,17,675,564,840
2020-05-11,,,8,3,17,683,567,857
2020-05-12,,,8,3,17,691,570,874
2020-05-13,,,8,3,17,699,572,891
2020-05-14,,,8,3,17,707,575,908
2020-05-15,,,7,3,17,714,578,925
2020-05-16,,,7,2,17,721,580,942
2020-05-17,,,7,2,17,729,582,958
2020-05-18,,,7,2,17,736,585,975
2020-05-19,,,7,2,16,743,587,991
2020-05-20,,,7,2,16,749,589,1008
2020-05-21,,,7,2,16,756,591,1024
2020-05-22,,,7,2,16,762,593,1040
2020-05-23,,,6,2,16,769,595,1056
2020-05-24,,,6,2,16,775,597,1072
2020-05-25,,,6,2,16,781,598,1088
2020-05-26,,,6,2,16,787,600,1104
2020-05-27,,,6,2,16,793,602,1120
2020-05-28,,,6,2,16,799,604,1135
2020-05-29,,,6,2,16,805,605,1151
2020-05-30,,,6,2,15,810,607,1166
2020-05-31,,,6,2,15,816,608,1182
2020-06-01,,,5,1,15,821,610,1197
2020-06-02,,,5,1,15,827,611,1212
2020-06-03,,,5,1,15,832,613,1227
2020-06-04,,,5,1,15,837,614,1242
2020-06-05,,,5,1,15,842,615,1257
2020-06-06,,,5,1,15,847,617,1271
2020-06-07,,,5,1,15,852,618,1286
2020-06-08,,,5,1,14,857,619,1301
2020-06-09,,,5,1,14,861,620,1315
2020-06-10,,,5,1,14,866,621,1329
2020-06-11,,,5,1,14,871,623,1343
2020-06-12,,,4,1,14,875,624,1357
2020-06-13,,,4,1,14,879,625,1371
2020-06-14,,,4,1,14,884,626,1385
2020-06-15,,,4,1,14,888,627,1399
2020-06-16,,,4,1,14,892,628,1412
2020-06-17,,,4,1,13,896,629,1426
2020-06-18,,,4,1,13,900,630,1439
2020-06-19,,,4,1,13,904,631,1453
2020-06-20,,,4,1,13,908,632,1466
2020-06-21,,,4,1,13,912,632,1479
2020-06-22,,,4,1,14,916,633,1493
2020-06-23,,,4,1,14,920,634,1507
2020-06-24,,,4,1,14,924,635,1521
2020-06-25,,,4,1,14,928,636,1535
2020-06-26,,,4,1,14,932,637,1549
2020-06-27,,,4,1,14,936,638,1563
2020-06-28,,,4,1,15,940,639,1578
2020-06-29,,,4,1,15,944,640,1593
2020-06-30,,,4,1,16,949,640,1608
2020-07-01,,,4,1,16,953,641,1624
2020-07-02,,,4,1,17,958,642,1641
2020-07-03,,,4,1,17,962,643,1658
2020-07-04,,,5,1,18,967,644,1676
2020-07-05,,,5,1,18,971,644,1695
2020-07-06,,,5,1,19,976,645,1714
2020-07-07,,,5,1,20,981,646,1733
2020-07-08,,,5,1,20,986,646,1754
2020-07-09,,,5,1,21,990,647,1775
2020-07-10,,,5,1,22,995,648,1797
2020-07-11,,,5,1,23,1001,648,1820
2020-07-12,,,5,1,24,1006,649,1843
2020-07-13,,,5,1,24,1011,650,1867
2020-07-14,,,5,1,25,1016,650,1893
2020-07-15,,,5,1,26,1022,651,1919
2020-07-16,,,6,1,27,1027,651,1946
2020-07-17,,,6,0,28,1033,652,1974
2020-07-18,,,6,0,29,1039,652,2003
2020-07-19,,,6,0,30,1044,653,2033
2020-07-20,,,6,0,31,1050,653,2064
2020-07-21,,,6,0,32,1057,653,2096
2020-07-22,,,6,0,33,1063,654,2129
2020-07-23,,,6,0,34,1069,654,2163
2020-07-24,,,7,0,36,1076,655,2199
2020-07-25,,,7,0,37,1082,655,2236
2020-07-26,,,7,0,38,1089,655,2274
2020-07-27,,,7,0,39,1096,656,2313
2020-07-28,,,7,0,41,1103,656,2354
2020-07-29,,,7,0,42,1111,656,2396
2020-07-30,,,8,0,44,1118,656,2440
2020-07-31,,,8,0,45,1126,657,2485
2020-08-01,,,8,0,47,1134,657,2532
2020-08-02,,,8,0,48,1142,657,2581
2020-08-03,,,8,0,50,1151,657,2631
2020-08-04,,,9,0,52,1159,658,2682
