date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,1,1,,,,,,
2020-03-16,0,1,,,,,,
2020-03-17,0,1,,,,,,
2020-03-18,0,1,,,,,,
2020-03-19,1,2,,,,,,
2020-03-20,0,2,,,,,,
2020-03-21,0,2,,,,,,
2020-03-22,1,3,,,,,,
2020-03-23,3,6,,,,,,
2020-03-24,1,7,,,,,,
2020-03-25,2,9,,,,,,
2020-03-26,4,13,,,,,,
2020-03-27,1,14,,,,,,
2020-03-28,3,17,,,,,,
2020-03-29,5,22,,,,,,
2020-03-30,3,25,,,,,,
2020-03-31,2,27,,,,,,
2020-04-01,7,34,,,,,,
2020-04-02,7,41,,,,,,
2020-04-03,5,46,,,,,,
2020-04-04,,,11,6,18,57,52,64
2020-04-05,,,12,6,20,69,58,84
2020-04-06,,,13,7,22,82,65,106
2020-04-07,,,14,7,23,96,71,129
2020-04-08,,,14,6,25,110,77,154
2020-04-09,,,14,6,26,124,83,180
2020-04-10,,,14,6,27,138,89,208
2020-04-11,,,14,5,27,152,94,235
2020-04-12,,,13,5,27,166,99,263
2020-04-13,,,13,5,27,178,104,290
2020-04-14,,,12,4,27,191,108,318
2020-04-15,,,11,4,26,202,112,344
2020-04-16,,,11,4,24,212,116,368
2020-04-17,,,10,3,23,222,119,391
2020-04-18,,,9,3,21,231,122,412
2020-04-19,,,8,3,19,239,125,431
2020-04-20,,,7,3,17,246,128,448
2020-04-21,,,7,2,15,253,130,464
2020-04-22,,,6,2,13,259,132,477
2020-04-23,,,5,2,12,264,134,489
2020-04-24,,,5,2,11,269,136,500
2020-04-25,,,4,2,10,273,138,510
2020-04-26,,,4,2,9,277,140,519
2020-04-27,,,4,1,8,281,141,527
2020-04-28,,,3,1,7,284,142,534
2020-04-29,,,3,1,6,287,143,540
2020-04-30,,,3,1,6,290,144,546
2020-05-01,,,2,1,5,292,145,551
2020-05-02,,,2,1,4,294,146,556
2020-05-03,,,2,1,4,296,147,560
2020-05-04,,,2,1,4,298,148,564
2020-05-05,,,2,1,3,300,149,567
2020-05-06,,,2,1,3,302,150,570
2020-05-07,,,1,1,3,303,151,573
2020-05-08,,,1,1,2,304,152,575
2020-05-09,,,1,1,2,306,153,577
2020-05-10,,,1,1,2,307,154,579
2020-05-11,,,1,1,2,308,155,581
2020-05-12,,,1,1,2,309,156,583
2020-05-13,,,1,1,2,310,157,585
2020-05-14,,,1,1,2,311,158,587
2020-05-15,,,1,1,1,312,159,588
2020-05-16,,,1,1,1,313,160,590
2020-05-17,,,1,1,1,314,161,591
2020-05-18,,,1,1,1,315,162,592
2020-05-19,,,1,1,1,316,163,593
2020-05-20,,,1,1,1,318,164,594
2020-05-21,,,1,1,1,319,165,595
2020-05-22,,,1,1,1,320,166,596
2020-05-23,,,1,1,1,321,167,597
2020-05-24,,,1,0,1,322,167,598
2020-05-25,,,1,0,1,322,167,599
2020-05-26,,,0,0,1,323,167,600
2020-05-27,,,0,0,1,323,167,601
2020-05-28,,,0,0,1,323,167,602
2020-05-29,,,0,0,1,323,167,603
2020-05-30,,,0,0,1,323,167,604
2020-05-31,,,0,0,0,323,167,604
2020-06-01,,,0,0,0,323,167,604
2020-06-02,,,0,0,0,323,167,604
2020-06-03,,,0,0,0,323,167,604
2020-06-04,,,0,0,0,323,167,604
2020-06-05,,,0,0,0,324,167,604
2020-06-06,,,0,0,0,324,167,604
2020-06-07,,,0,0,0,324,167,604
2020-06-08,,,0,0,0,324,167,604
2020-06-09,,,0,0,0,324,167,604
2020-06-10,,,0,0,0,324,167,604
2020-06-11,,,0,0,0,324,167,604
2020-06-12,,,0,0,0,324,167,604
2020-06-13,,,0,0,0,324,167,604
2020-06-14,,,0,0,0,324,167,604
2020-06-15,,,0,0,0,324,167,604
2020-06-16,,,0,0,0,324,167,604
2020-06-17,,,0,0,0,324,167,604
2020-06-18,,,0,0,0,324,167,604
2020-06-19,,,0,0,0,324,167,604
2020-06-20,,,0,0,0,324,167,604
2020-06-21,,,0,0,0,324,167,604
2020-06-22,,,0,0,0,324,167,604
2020-06-23,,,0,0,0,324,167,604
2020-06-24,,,0,0,0,324,167,604
2020-06-25,,,0,0,0,324,167,604
2020-06-26,,,0,0,0,324,167,604
2020-06-27,,,0,0,0,324,167,604
2020-06-28,,,0,0,0,324,167,604
2020-06-29,,,0,0,0,324,167,604
2020-06-30,,,0,0,0,324,167,604
